Date,SPEI,SPEI_SMOOTH
2021-01-01,1.1947857026130921,1.0652720543646048
2021-02-01,1.2237790015435988,1.1529601722635254
2021-03-01,1.2104705072218371,1.2096784037928432
2021-04-01,1.1904045843308972,1.2082180310321116
2021-05-01,1.3333329231508317,1.2447360049011893
2021-06-01,1.3442459106445312,1.2893278060420872
2021-07-01,1.6142800854098411,1.4306196397350686
2021-08-01,1.3753595659809728,1.4446285206784488
2021-09-01,1.0738489704747354,1.354496207288517
2021-10-01,1.3109947942918347,1.2534011102491815
2021-11-01,1.7454222402264994,1.3767553349976904
2021-12-01,1.7253954487462198,1.5939374944215186
2022-01-01,1.6719751665669103,1.714264285179877
2022-02-01,1.6698426277406755,1.6890710810179357
2022-03-01,1.6247169740738407,1.655511589460476
2022-04-01,1.6261554841072328,1.640238361973917
2022-05-01,1.6313653761340725,1.6274126114383825
2022-06-01,1.5638205005276589,1.6071137869229888
2022-07-01,1.6639517507245463,1.6197125424620928
2022-08-01,1.7975862564579133,1.67511950257004
2022-09-01,1.8479800070485761,1.7698393380770125
2022-10-01,1.8079750307144657,1.817847098073652
2022-11-01,1.3048231063350555,1.6535927146993663
2022-12-01,1.4932962233020413,1.5353647867838547
2023-01-01,1.4769586132418724,1.425025980959657
2023-02-01,1.4594372164818548,1.4765640176752566
2023-03-01,1.5537574521956905,1.4967177606398063
2023-04-01,1.4474810938681326,1.48689192084856
2023-05-01,1.3363336132418724,1.4458573864352324
2023-06-01,1.0844844695060485,1.2894330588720182
2023-07-01,1.1292639701597151,1.1833606843025457
2023-08-01,0.49862329421504853,0.9041239112936045
2023-09-01,0.751998778312437,0.7932953475624007
2023-10-01,0.05659752507363596,0.435739865867041
2023-11-01,0.21792487175233902,0.3421737250461378
2023-12-01,0.15094617105299427,0.14182285595965693
2024-01-01,0.18400286089989445,0.18429130123507642
2024-02-01,0.1418409655171056,0.1589299991566653
2024-03-01,-0.034215311850270914,0.09720950485557689
2024-04-01,-0.15603443884080456,-0.01613626172465611
2024-05-01,-0.12800711970175466,-0.10608562346427619
2024-06-01,0.09383841483823714,-0.06340104790144017
2024-07-01,0.07663185365738408,0.014154382931289372
2024-08-01,0.7094314329085811,0.2933005671347346
2024-09-01,0.4023832505749118,0.3961488457136262
2024-10-01,0.7789759482106855,0.63026354389806
2024-11-01,0.8854376885198778,0.6889322957684922
2024-12-01,0.8309520598380796,0.8317885655228815
